iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3502631.7565775285,2.9188597971479404,-2.9188597491727917,-1.4594225228551487
1,171215.68162856225,0.14267973469046855,-0.14223957523581418,-0.08673654433005358
2,-116846.98583938509,-0.09737248819948757,0.10558419904156989,0.02072277710300707
3,-177599.70148819737,-0.14799975124016448,0.15791521216044077,0.042505663710921834
4,-283244.6327095839,-0.23603719392465325,0.2496931965405142,0.0623221279701436
5,-373629.6038643193,-0.3113580032202661,0.330465804578177,0.106422840625001
6,-468346.71265936224,-0.3902889272161352,0.414568364994695,0.14413034795120447
7,-530168.3087213588,-0.44180692393446563,0.4726131035481667,0.18857820810422785
8,-565154.3598176008,-0.4709619665146673,0.5051398454515421,0.20347640397506625
9,-597548.4618586741,-0.4979570515488951,0.5370192275107207,0.21593273389331688
10,-608581.2119367684,-0.507151009947307,0.5477609449711303,0.21972003801946421
11,-616270.2088283453,-0.5135585073569544,0.5552283808161881,0.22219535865405968
12,-619379.220932073,-0.5161493507767274,0.5582510764230627,0.225230577691624
13,-620837.8713899266,-0.5173648928249389,0.5597374345254714,0.22859180163169077
14,-621334.4627303793,-0.5177787189419828,0.5603136097418988,0.23077534902475572
15,-621740.9303559116,-0.5181174419632597,0.5607402205179723,0.23274973120191533
16,-621960.8700109089,-0.5183007250090907,0.5609266213380776,0.23348085653074266
17,-621996.9806734956,-0.518330817227913,0.5609823680405512,0.23413385758517913
18,-622068.0501364266,-0.5183900417803555,0.5610582866710431,0.23472256934438138
19,-622079.0390794269,-0.5183991992328557,0.5610896052625717,0.23482808910678601
20,-622086.3369506585,-0.5184052807922154,0.5611156656766871,0.23488906948003735
