iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3495440.828192711,2.912867356827259,-2.912867260877656,-1.4564524674532582
1,144653.08655448892,0.12054423879540743,-0.12009457378305786,-0.061612929765811154
2,-484637.6922640542,-0.4038647435533785,0.4390095316510074,0.21229170740832873
3,-589413.8626632484,-0.49117821888604035,0.5390196014660145,0.26310841623000714
4,-657785.4826551445,-0.5481545688792872,0.5967478353093643,0.29372408827353674
5,-714103.7786979411,-0.5950864822482842,0.6447033512493726,0.3191417210282652
6,-746492.2692094275,-0.6220768910078562,0.6726011337942704,0.33185322778506526
7,-762494.8639969019,-0.635412386664085,0.6867276971992575,0.33781813100132163
8,-768311.7389362532,-0.6402597824468778,0.691842452363242,0.3398113623338557
9,-771039.2341762689,-0.6425326951468908,0.6942683437638123,0.34049231438513405
10,-772961.1241082654,-0.6441342700902212,0.6960244618718184,0.3411818720011924
11,-773927.8037902751,-0.6449398364918959,0.6969086922290894,0.34137038409027753
12,-774168.0981974656,-0.6451400818312214,0.6971114877574699,0.34120305571385234
13,-774350.4303241693,-0.6452920252701411,0.6972940247977686,0.34121614585909654
14,-774390.2575920741,-0.6453252146600618,0.6973574379828138,0.34124504098575575
15,-774460.9188348192,-0.6453840990290161,0.6974142818688689,0.3412384175338342
16,-774558.0522652403,-0.645465043554367,0.6974970427694774,0.3412329942732283
17,-774696.4071976946,-0.6455803393314122,0.6976238167279858,0.3411448563166224
18,-774743.5877476127,-0.6456196564563439,0.6976469148281207,0.3410860583558976
19,-774745.78176341,-0.6456214848028416,0.69764498418289,0.341062070827887
20,-774745.9473203553,-0.6456216227669628,0.6976457879842878,0.3410584270826214
