iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3490678.906458487,2.9088990887154056,-2.908898897003251,-1.454437648420016
1,67302.45104667122,0.05608537587222602,-0.05517176962594003,-0.029572607642267747
2,-594341.1972917923,-0.49528433107649356,0.5364079824181556,0.25800267666384447
3,-698416.3264209997,-0.5820136053508331,0.6314545129307594,0.30413848070729427
4,-752177.6686943066,-0.6268147239119222,0.677043900756021,0.3266060742212045
5,-785677.2513084012,-0.654731042757001,0.706077983560542,0.340393925003795
6,-803777.6102982276,-0.669814675248523,0.7220854258073389,0.34851117702547324
7,-813620.9814770616,-0.6780174845642181,0.7309238473046574,0.3535481752037419
8,-821456.6582023151,-0.684547215168596,0.7378934329399836,0.3570599676760628
9,-831180.5148696767,-0.6926504290580638,0.746733168652667,0.36114463967875676
10,-838355.6616531682,-0.6986297180443068,0.753351246122346,0.36422087249211255
11,-844302.1789576892,-0.7035851491314077,0.7588764355401637,0.3665902515953924
12,-847599.2578860316,-0.7063327149050264,0.7620548208953288,0.36814919484274333
13,-850524.7686544526,-0.7087706405453772,0.7648723795876103,0.36963533132225734
14,-852958.575451356,-0.71079881287613,0.7670790406448436,0.3708556975348847
15,-854594.5719785294,-0.7121621433154413,0.7686588081183164,0.3715690678252372
16,-856035.5210933891,-0.7133629342444909,0.7699901295519145,0.37214462301557405
17,-856914.4333973336,-0.7140953611644447,0.7708293871767429,0.3724788820781897
18,-857460.0232906858,-0.7145500194089048,0.7713775802286507,0.37261920582153485
19,-857834.2233228183,-0.7148618527690153,0.7717196677159066,0.3727310988015836
20,-858256.3398684247,-0.7152136165570205,0.7720840142179464,0.37289929724666193
