iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3503989.76377966,2.9199914698163836,-2.9199914218255265,-1.4600141111008276
1,137527.4916041946,0.11460624300349549,-0.11389748942750909,-0.060620971568975876
2,-375916.67014602834,-0.31326389178835695,0.34460648483177053,0.1706484089338376
3,-468777.336635648,-0.39064778052970667,0.43633222789986753,0.21418685581750024
4,-494972.5942735616,-0.4124771618946347,0.4580115372629113,0.22345184930200315
5,-523767.3418649362,-0.43647278488744684,0.48156779247825016,0.23498026233870808
6,-565484.3140695,-0.47123692839125,0.5165789425777495,0.25208928868756486
7,-601659.9297303037,-0.5013832747752531,0.5473706437887152,0.26814402502074774
8,-629798.7095043968,-0.5248322579203306,0.5715646036164737,0.2800925222539869
9,-649121.3142612679,-0.5409344285510566,0.5881340281453935,0.28878720679965814
10,-663245.3268053189,-0.5527044390044324,0.600743174460087,0.2946576717905542
11,-670098.0470027569,-0.5584150391689641,0.6073841452578734,0.29777743560654957
12,-671940.6938846466,-0.5599505782372055,0.609005239384469,0.2985410509899075
13,-673839.3195364721,-0.5615327662803934,0.6107876884281922,0.29909553129591476
14,-675356.8234948858,-0.5627973529124048,0.6122233877206705,0.2994239872175924
15,-676247.1040613146,-0.5635392533844288,0.613052992694905,0.29969657270976086
16,-676740.2524607809,-0.5639502103839841,0.6136096100947179,0.299877601293989
17,-676926.3250850203,-0.5641052709041836,0.6137779765913122,0.29989408903160353
18,-677026.7796416683,-0.5641889830347236,0.6139011841491685,0.2999904926916812
19,-677128.443192307,-0.5642737026602559,0.6140117133699612,0.30003740365857823
20,-677253.5251670532,-0.564377937639211,0.6141397594528357,0.2998433807835099
