iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3498955.3387781125,2.915796115648427,-2.9157959238216016,-1.4578784692396802
1,55900.15301240963,0.04658346084367469,-0.04557381318147167,-0.026794830949569755
2,-710127.363067656,-0.5917728025563801,0.6371662566893516,0.3095364893388536
3,-819107.137630655,-0.6825892813588791,0.7351100592329279,0.35715042019622323
4,-851325.8551577042,-0.7094382126314202,0.7638645522133444,0.36991612655453765
5,-866318.5864003713,-0.7219321553336427,0.77760092040662,0.3767186959565463
6,-874638.6419536308,-0.7288655349613591,0.7852874778328545,0.38039271877712666
7,-881758.3591541684,-0.7347986326284737,0.7920461106651108,0.38384847820933693
8,-885405.5853648419,-0.7378379878040349,0.7955057416274895,0.3856212888371605
9,-890059.0079548267,-0.7417158399623556,0.7997738403488269,0.3876300876917986
10,-894703.4752714004,-0.7455862293928337,0.803942760421739,0.3895017410751502
11,-898607.0611061587,-0.7488392175884655,0.8073327370991801,0.390972628359631
12,-902242.8126421697,-0.7518690105351413,0.8104664074955592,0.3924945844633225
13,-905085.6530218008,-0.754238044184834,0.8129553083248131,0.3936539254085217
14,-908307.178959823,-0.7569226491331859,0.8159243309438423,0.39486415271918446
15,-911280.6487655294,-0.7594005406379412,0.8188841564387365,0.3963167138944299
16,-913209.2710983554,-0.7610077259152962,0.8207095128040943,0.3972657410117609
17,-914696.8405124706,-0.7622473670937254,0.8220069540722322,0.3980446159813791
18,-916797.860771284,-0.7639982173094033,0.8238724878256407,0.3992188614274311
19,-919298.4935086396,-0.7660820779238664,0.8262192755089691,0.40049340452651
20,-921356.464409888,-0.7677970536749067,0.8280747044155905,0.40152270667629086
