iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3497911.1054098755,2.914925921174896,-2.914925825230504,-1.4574357450108726
1,139174.10238387133,0.11597841865322611,-0.11547902726881866,-0.06097779389097482
2,-562424.9123236496,-0.46868742693637466,0.5027609484323108,0.24443809660682736
3,-675786.3282187891,-0.5631552735156575,0.6113737086605738,0.29849395131644946
4,-742385.9740047689,-0.6186549783373074,0.6687838622087287,0.32736745442323184
5,-779581.7813763584,-0.6496514844802986,0.7006966415669363,0.3430606197677224
6,-791107.4692250225,-0.6592562243541854,0.7112858132134546,0.34813324544592844
7,-797244.93844198,-0.6643707820349833,0.7168366526478825,0.3507368008161188
8,-804240.3414821746,-0.6702002845684788,0.7234254351344611,0.3535226569645958
9,-808152.5497601059,-0.6734604581334216,0.7274176080492281,0.35561110424827314
10,-809426.0919027447,-0.6745217432522873,0.7285227781868008,0.35620285970678844
11,-810710.4433496974,-0.6755920361247478,0.7297448040183794,0.35648876320599926
12,-811886.8084682006,-0.6765723403901672,0.7308734182850591,0.35690153724009
13,-812498.4015307027,-0.6770820012755856,0.7315312748288179,0.3569728675364111
14,-812945.9404400961,-0.6774549503667467,0.7320426863437771,0.357071289775793
15,-813601.9412624649,-0.6780016177187207,0.7326883565021436,0.35705169610894943
16,-814032.6826892309,-0.6783605689076924,0.733080364307398,0.3571258737197074
17,-814685.7271124022,-0.6789047725936685,0.733670455300193,0.35694646500258675
18,-814917.4751634068,-0.6790978959695056,0.7338787162225712,0.35676438371842545
19,-815015.6205576537,-0.6791796837980447,0.7339603786111879,0.3566994051296753
20,-815039.0925515535,-0.6791992437929613,0.733983351449799,0.356755123190805
